%q Iq Pq Sq Zq Bq Bq2
1.297000800e-02 8.434077044e+00 1.944036367e-12 9.962858605e-02 2.234561066e-02 9.999999864e-01 1.000000000e+00
1.302281200e-02 8.332376398e+00 1.942909894e-12 9.850953515e-02 2.114201837e-02 9.999999863e-01 1.000000000e+00
1.307561500e-02 8.268512275e+00 1.941779433e-12 9.786272459e-02 2.042495605e-02 9.999999862e-01 1.000000000e+00
1.312841900e-02 8.228024800e+00 1.940644948e-12 9.750725955e-02 2.000771423e-02 9.999999860e-01 1.000000000e+00
1.318122300e-02 8.202623539e+00 1.939506467e-12 9.733941549e-02 1.978322215e-02 9.999999859e-01 1.000000000e+00
1.323402700e-02 8.187394861e+00 1.938363997e-12 9.729772714e-02 1.968802404e-02 9.999999858e-01 1.000000000e+00
1.328683000e-02 8.179320330e+00 1.937217566e-12 9.734444792e-02 1.968314823e-02 9.999999857e-01 1.000000000e+00
1.333963400e-02 8.176480854e+00 1.936067137e-12 9.745560244e-02 1.974383657e-02 9.999999856e-01 1.000000000e+00
1.339243800e-02 8.177618963e+00 1.934912739e-12 9.761549118e-02 1.985387829e-02 9.999999855e-01 1.000000000e+00
1.344524200e-02 8.181888071e+00 1.933754379e-12 9.781356299e-02 2.000237762e-02 9.999999854e-01 1.000000000e+00
1.349804600e-02 8.188705319e+00 1.932592064e-12 9.804256977e-02 2.018184984e-02 9.999999852e-01 1.000000000e+00
1.355084900e-02 8.197661732e+00 1.931425822e-12 9.829743898e-02 2.038705828e-02 9.999999851e-01 1.000000000e+00
1.360365300e-02 8.208466820e+00 1.930255616e-12 9.857459056e-02 2.061430476e-02 9.999999850e-01 1.000000000e+00
1.365645700e-02 8.220911476e+00 1.929081476e-12 9.887145609e-02 2.086093966e-02 9.999999849e-01 1.000000000e+00
1.370926100e-02 8.234844870e+00 1.927903407e-12 9.918620033e-02 2.112507005e-02 9.999999848e-01 1.000000000e+00
1.376206400e-02 8.250158040e+00 1.926721439e-12 9.951751032e-02 2.140534421e-02 9.999999847e-01 1.000000000e+00
1.381486800e-02 8.266774137e+00 1.925535535e-12 9.986448378e-02 2.170083170e-02 9.999999845e-01 1.000000000e+00
1.386767200e-02 8.284639065e+00 1.924345724e-12 1.002264961e-01 2.201089308e-02 9.999999844e-01 1.000000000e+00
1.392047600e-02 8.303717229e+00 1.923152013e-12 1.006031578e-01 2.233513129e-02 9.999999843e-01 1.000000000e+00
1.397327900e-02 8.323987015e+00 1.921954430e-12 1.009942526e-01 2.267333025e-02 9.999999842e-01 1.000000000e+00
1.402608300e-02 8.345439564e+00 1.920752939e-12 1.013997327e-01 2.302544491e-02 9.999999841e-01 1.000000000e+00
1.407888700e-02 8.368074450e+00 1.919547569e-12 1.018196491e-01 2.339153683e-02 9.999999839e-01 1.000000000e+00
1.413169100e-02 8.391899721e+00 1.918338327e-12 1.022541625e-01 2.377178072e-02 9.999999838e-01 1.000000000e+00
1.418449400e-02 8.416929974e+00 1.917125242e-12 1.027035145e-01 2.416643694e-02 9.999999837e-01 1.000000000e+00
1.423729800e-02 8.443187507e+00 1.915908277e-12 1.031680520e-01 2.457587195e-02 9.999999836e-01 1.000000000e+00
1.429010200e-02 8.470698941e+00 1.914687461e-12 1.036481701e-01 2.500050682e-02 9.999999835e-01 1.000000000e+00
1.434290500e-02 8.499496176e+00 1.913462824e-12 1.041443316e-01 2.544083398e-02 9.999999833e-01 1.000000000e+00
1.439570900e-02 8.529617920e+00 1.912234328e-12 1.046570943e-01 2.589744104e-02 9.999999832e-01 1.000000000e+00
1.444851300e-02 8.561106316e+00 1.911002002e-12 1.051870533e-01 2.637095982e-02 9.999999831e-01 1.000000000e+00
1.450131700e-02 8.594009097e+00 1.909765854e-12 1.057348788e-01 2.686209971e-02 9.999999830e-01 1.000000000e+00
1.455412000e-02 8.628378472e+00 1.908525915e-12 1.063012971e-01 2.737163114e-02 9.999999828e-01 1.000000000e+00
1.460692400e-02 8.664273913e+00 1.907282144e-12 1.068871361e-01 2.790042700e-02 9.999999827e-01 1.000000000e+00
1.465972800e-02 8.701758485e+00 1.906034574e-12 1.074932644e-01 2.844940823e-02 9.999999826e-01 1.000000000e+00
1.471253200e-02 8.740901719e+00 1.904783210e-12 1.081206374e-01 2.901958649e-02 9.999999825e-01 1.000000000e+00
